Latitude,Longitude,LocalDate,LimitingMag,SQMReading,CloudCover,Country
-26.7309,152.725,2020-11-15,6,21.52,0,Australia
-26.7329,152.752,2020-11-15,6,21.6,0,Australia
-26.7161,152.775,2020-11-15,6,21.6,0,Australia
-26.7097,152.806,2020-11-15,6,21.56,0,Australia
-26.7152,152.816,2020-11-15,6,21.58,0,Australia
-26.7273,152.817,2020-11-15,6,21.57,0,Australia
-26.7406,152.82,2020-11-15,6,21.57,0,Australia
-26.7603,152.81,2020-11-15,6,21.54,0,Australia
-26.7596,152.865,2020-11-14,6,21.41,0,Australia
-26.7504,152.822,2020-11-15,6,21.52,0,Australia
-26.7591,152.865,2020-11-14,6,21.41,0,Australia
-26.7542,152.832,2020-11-15,6,21.44,0,Australia
-26.7555,152.809,2020-11-14,6,21.54,0,Australia
-26.7542,152.832,2020-11-14,6,21.44,0,Australia
-38.1553,144.311,2020-11-11,3,,0,Australia
-38.1652,144.307,2020-11-01,2,,0,Australia
-38.1654,144.307,2020-10-25,2,,0,Australia
-28.1116,153.464,2020-10-20,5,,0,Australia
-34.8815,138.643,2020-10-19,5,19.07,0,Australia
-38.1384,144.291,2020-10-17,2,,0,Australia
-38.1355,144.299,2020-10-14,3,,0,Australia
-38.1553,144.311,2020-10-11,3,,0,Australia
-34.8815,138.643,2020-10-10,5,19.03,0,Australia
-34.8815,138.643,2020-10-09,4,18.99,0,Australia
-32.8988,151.679,2020-06-21,4,,0,Australia
-33.7961,151.178,2020-09-29,3,,0,Australia
-37.7715,145.037,2020-09-21,4,18.65,0,Australia
-38.1554,144.311,2020-09-21,2,,0,Australia
-38.1554,144.311,2020-09-21,2,,0,Australia
-38.1553,144.311,2020-09-20,3,,0,Australia
-38.1652,144.31,2020-09-18,3,,0,Australia
-38.1552,144.311,2020-09-16,3,,0,Australia
-38.1554,144.311,2020-09-15,3,,0,Australia
-23.7165,133.885,2020-09-14,2,,0,Australia
-38.1553,144.311,2020-09-14,2,,0,Australia
-38.1553,144.311,2020-09-10,2,,0,Australia
